	reactions	name	notes
156	SK_for_c	Sink for(c)	Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions including membrane transport reactions.
157	SK_pc_hs_16_0_16_0_c	Sink pchol hs 16 0 16 0(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
158	SK_pc_hs_16_0_18_9Z12Z_c	Sink pchol hs 16 0 18 2(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
159	SK_pc_hs_16_0_18_9Z_c	Sink pchol hs 16 0 18 1(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
160	SK_pc_hs_18_9Z12Z_16_0_c	Sink pchol hs 18 2 16 0(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
161	SK_pc_hs_18_9Z12Z_18_9Z_c	Sink pchol hs 18 2 18 1(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
162	SK_pc_hs_18_9Z_18_9Z12Z_c	Sink pchol hs 18 1 18 2(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
163	SK_pc_hs_18_9Z_18_9Z_c	Sink pchol hs 18 1 18 1(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
164	SK_pe_hs_16_0_16_0_c	Sink pe hs 16 0 16 0(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
165	SK_pe_hs_16_0_18_9Z12Z_c	Sink pe hs 16 0 18 2(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
166	SK_pe_hs_16_0_18_9Z_c	Sink pe hs 16 0 18 1(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
167	SK_pe_hs_18_9Z12Z_16_0_c	Sink pe hs 18 2 16 0(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
168	SK_pe_hs_18_9Z12Z_18_9Z_c	Sink pe hs 18 2 18 1(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
169	SK_pe_hs_18_9Z_18_9Z12Z_c	Sink pe hs 18 1 18 2(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
170	SK_pe_hs_18_9Z_18_9Z_c	Sink pe hs 18 1 18 1(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
171	THMMPtrbc	Thiamine monophosphate transport (passive - red blood cell)	Replaced by reactions involving reduced folate carrier (Gene ID: 6573, SLC19A1), a bidirectional reduced folate/organic phosphate antiporter that can utilize the phosphorylated derivatives of thiamin for transport (PMID: 11038362).
172	TMDPPK	Thiamine diphosphate kinase	Replaced by ADK7. Adenylate kinase isozyme 1 has can phosphorylate thiamin diphosphate using ADP as a donor (PMID: 1332781)
173	UDPGD	UDPglucose 6-dehydrogenase	No proteomic or activity evidence
174	UDPGNP	UDP-glucuronate glucuronohydrolase	No proteomic or activity evidence
